"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"72210","SN 2020abmp","00:47:18.922","+00:24:18.15","SN Ic","0.058","","","ZTF, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","None","ATLAS; Pan-STARRS1; ZTF","ZTF20acuxjus","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Baade - IMACS","1","1","","19.8954","g-ZTF","2020-12-04 03:03:29.088","Fritz","",""
"72173","SN 2020able","09:26:02.262","+24:31:18.07","SN Ic","0.024755","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","Global SN Project","ATLAS; Pan-STARRS1","ATLAS20bgkn","ATLAS1 - ACAM1, PS1 - GPC1","FTN - FLOYDS-N","1","1","","18.947","orange-ATLAS","2020-12-02 12:46:04.800","ATLAS_Bot1","",""
"71923","SN 2020abdw","02:01:17.090","+24:04:14.66","SN Ic","0.0327790007","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, REFITT","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20actpqgc","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM, SOAR - Goodman","1","1","","20.0858","r-ZTF","2020-11-25 05:39:13.248","ZTF_CLU_PUBLIC","",""
"71665","SN 2020aauc","03:47:18.140","-08:27:06.26","SN Ic","0.033","WISEA J034717.72-082702.9","","ALeRCE, ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, REFITT","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20actekrw","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, SOAR - Goodman","1","1","","19.3927","r-ZTF","2020-11-23 07:08:06.996","ALeRCE","",""
"71032","SN 2020zwy","21:56:18.752","-22:19:05.30","SN Ic","","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS20bflo","ATLAS1 - ACAM1","UH88 - SNIFS","1","1","","19.218","cyan-ATLAS","2020-11-16 06:12:57.600","ATLAS_Bot1","",""
"69448","SN 2020xpn","10:25:39.026","+16:47:14.55","SN Ic","0.0347","WISEA J102538.99+164714.2","0.034704","ALeRCE, ZTF","ZTF","ZTF","ZTF","ZTF20aclnplo","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1491","g-ZTF","2020-10-20 11:57:19.996","ALeRCE","",""
"67552","SN 2020uvh","04:40:44.679","+67:43:55.50","SN Ic","0.016111","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20acfqngt","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.46","g-ZTF","2020-09-28 11:18:14.400","ZTF_Bot1","",""
"66940","SN 2020txx","22:05:03.166","-09:01:27.65","SN Ic","0.063928","SDSS J220504.04-090126.8","0.0639352","SGLF, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF, SCAT","ATLAS; Pan-STARRS1; ZTF","ZTF20accoccp","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM, UH88 - SNIFS","1","1","","20.41","r-ZTF","2020-09-19 06:05:49.000","Perez-Fournon","",""
"66903","SN 2020twp","22:18:35.423","+05:20:01.28","SN Ic","0.074","SDSS J221835.28+052003.7","0.193","ALeRCE, ZTF, YSE, ATLAS, Pan-STARRS1","ZTF, Pan-STARRS1, ATLAS","UCSC","ATLAS; Pan-STARRS1; ZTF","ZTF20accbsxa","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","20.5632","g-ZTF","2020-09-18 07:46:16.000","ALeRCE","",""
"66527","SN 2020tii","23:41:25.814","-22:42:18.32","SN Ic","0.046432","2MFGC 17768","0.046432","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abzjcdg","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","18.8848","g-ZTF","2020-09-15 08:01:55.004","ALeRCE","",""
