"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"5801","SN 2011hs","22:57:11.770","-43:23:04.81","SN IIb","","IC 5267         ","","","","","","","","","0","1","","15.5","","2011-11-12 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 2902; PositionRef=CBET 2902; Orig Type=IIb]",""
"5710","SN 2011ei","20:34:22.620","-31:58:23.59","SN IIb","","NGC 6925        ","","","","","","","","","0","1","","18","","2011-07-25 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 2777; PositionRef=CBET 2777; Orig Type=IIb  ]",""
"5649","SN 2011cb","22:47:07.490","-64:49:43.39","SN IIb","","Anon.           ","","","","","","","","","0","1","","14.9","","2011-04-29 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 2711; PositionRef=CBET 2711; Orig Type=IIb  ]",""
"5642","SN 2011bv","13:02:53.570","-04:02:35.99","SN IIb","","Anon.           ","","","","","","","","","0","1","","18.8","","2011-03-30 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 2704; PositionRef=CBET 2704; Orig Type=IIb  ]",""
"5886","SN 2011V","09:27:38.760","+28:47:27.49","SN IIb","","MCG +05-22-48   ","","","","","","","","","0","1","","16","","2011-01-28 00:00:00.000","","[Discoverer=Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 2650; PositionRef=CBET 2650; Orig Type=IIb  ]",""
"5674","SN 2011D","03:02:14.580","+17:20:58.88","SN IIb","","UGC 2498        ","","","","","","","","","0","1","","18.2","","2011-01-05 00:00:00.000","","[Discoverer=Howerton and Drake et al. (Catalina Sky Survey); Cenko et al. (LOSS); DiscoveryRef=CBET 2627; PositionRef=CBET 2627; Orig Type=IIb  ]",""
"5567","SN 2010ls","13:40:51.559","-48:23:03.08","SN IIb","","Anon.           ","","","","","","","","","0","1","","16.2","","2010-12-29 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 2615; PositionRef=CBET 2615; Orig Type=IIb  ]",""
"5555","SN 2010lg","22:56:40.219","+38:10:43.79","SN IIb","","Anon.           ","","","","","","","","","0","1","","18.1","","2010-11-15 00:00:00.000","","[Discoverer=Drake et al. (CRTS); DiscoveryRef=CBET 2601; PositionRef=CBET 2601; Orig Type=IIb  ]",""
"5529","SN 2010kh","20:59:46.730","-01:53:43.91","SN IIb","","UGC 11657       ","","","","","","","","","0","1","","17.4","","2010-11-18 00:00:00.000","","[Discoverer=Cenko et al. (LOSS); DiscoveryRef=CBET 2562; PositionRef=CBET 2562; Orig Type=IIb  ]",""
"5485","SN 2010ir","06:57:23.791","-24:43:10.49","SN IIb","","ESO 491-12      ","","","","","","","","","0","1","","16.6","","2010-10-09 00:00:00.000","","[Discoverer=Pignate et al. (CHASE); DiscoveryRef=CBET 2494; PositionRef=CBET 2494; Orig Type=IIb  ]",""
"5446","SN 2010hf","06:37:19.771","+56:22:57.79","SN IIb","","MCG +09-11-21   ","","","","","","","","","0","1","","18.3","","2010-08-31 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 2432; PositionRef=CBET 2432; Orig Type=IIb  ]",""
"5443","SN 2010hc","19:55:08.239","-39:21:58.50","SN IIb","","ESO 339-6       ","","","","","","","","","0","1","","16.3","","2010-08-05 00:00:00.000","","[Discoverer=Drake et al. (Siding Spring Survey); DiscoveryRef=CBET 2429; PositionRef=CBET 2429; Orig Type=IIb  ]",""
"5397","SN 2010fk","16:11:19.411","+53:38:15.00","SN IIb","","Anon.           ","","","","","","","","","0","1","","22.1","","2010-06-06 00:00:00.000","","[Discoverer=Chornock et al. (PanSTARRS); DiscoveryRef=CBET 2350; PositionRef=CBET 2350; Orig Type=IIb  ]",""
"5370","SN 2010ek","22:48:40.961","+27:37:11.39","SN IIb","","UGC 12191       ","","","","","","","","","0","1","","18.8","","2010-06-15 00:00:00.000","","[Discoverer=Cenko et al. (LOSS); DiscoveryRef=CBET 2329; PositionRef=CBET 2329; Orig Type=IIb  ]",""
"5264","SN 2010am","09:33:01.750","+15:49:08.80","SN IIb","","Anon.           ","","","","","","","","","0","1","","17.8","","2010-03-12 00:00:00.000","","[Discoverer=Drake et al. (CRTS); DiscoveryRef=CBET 2208; PositionRef=CBET 2208; Orig Type=IIb  ]",""
"5218","SN 2009nf","01:58:56.971","-07:16:58.30","SN IIb","","Anon.           ","","","","","","","","","0","1","","19.8","","2009-11-11 00:00:00.000","","[Discoverer=Drake et al. (CRTS); DiscoveryRef=CBET 2101; PositionRef=CBET 2101; Orig Type=IIb  ]",""
"5206","SN 2009mu","09:51:57.749","-33:04:42.38","SN IIb","","ESO 374-3       ","","","","","","","","","0","1","","18.2","","2009-12-21 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 2091; PositionRef=CBET 2091; Orig Type=IIb  ]",""
"5196","SN 2009mk","00:06:21.370","-41:28:59.81","SN IIb","","ESO 293-34      ","","","","","","","","","0","1","","15.3","","2009-12-15 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 2080; PositionRef=CBET 2080; Orig Type=IIb  ]",""
"5192","SN 2009mg","06:21:44.861","-59:44:26.02","SN IIb","","ESO 121-G26     ","","","","","","","","","0","1","","17.3","","2009-12-07 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 2071; PositionRef=CBET 2071; Orig Type=IIb  ]",""
"5132","SN 2009ka","21:17:35.779","+26:01:12.00","SN IIb","","Anon.           ","","","","","","","","","0","1","","17.5","","2009-10-18 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 1985; PositionRef=CBET 1985; Orig Type=IIb  ]",""
"5126","SN 2009jv","09:40:57.830","+47:37:04.01","SN IIb","","UGC 5157        ","","","","","","","","","0","1","","17.2","","2009-10-16 00:00:00.000","","[Discoverer=Gorelli, Newton, Puckett; DiscoveryRef=CBET 1977; PositionRef=CBET 1977; Orig Type=IIb? ]",""
"5035","SN 2009gl","13:34:43.709","+09:20:10.72","SN IIb","","IC 900          ","","","","","","","","","0","1","","18.1","","2009-06-23 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 1860; PositionRef=CBET 1860; Orig Type=IIb  ]",""
"5034","SN 2009gk","21:44:27.281","+14:53:57.30","SN IIb","","Anon.           ","","","","","","","","","0","1","","18.3","","2009-06-23 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 1859; PositionRef=CBET 1859; Orig Type=IIb  ]",""
"5033","SN 2009gj","00:30:28.560","-33:12:56.02","SN IIb","","NGC 134         ","","","","","","","","","0","1","","15.9","","2009-06-20 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 1856; PositionRef=CBET 1856; Orig Type=IIb  ]",""
"5022","SN 2009fz","16:54:48.370","-72:34:55.99","SN IIb","","NGC 6209        ","","","","","","","","","0","1","","16.5","","2009-06-08 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 1838; PositionRef=CBET 1838; Orig Type=IIb  ]",""
"5005","SN 2009fi","14:06:05.801","+11:47:13.88","SN IIb","","Anon.           ","","","","","","","","","0","1","","17.7","","2009-05-30 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 1821; PositionRef=CBET 1821; Orig Type=IIb  ]",""
"4959","SN 2009dq","10:08:49.939","-67:01:57.29","SN IIb","","IC 2554         ","","","","","","","","","0","1","","15.2","","2009-04-24 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 1781; PositionRef=CBET 1781; Orig Type=IIb  ]",""
