"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"47384","SN 2019tqj","03:28:22.586","+73:46:43.45","SN Ia","0.104","WISEA J032824.08+734641.0","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19acjjwsy","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4924","g-ZTF","2019-10-29 09:06:54.000","ALeRCE","",""
"47373","SN 2019tpy","19:36:04.559","+37:14:20.78","SN Ia","0.032","WISEA J193604.58+371416.2","0.028833","ALeRCE","ZTF","ZTF","ALeRCE","ZTF19acjtkha","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3412","r-ZTF","2019-10-29 02:18:41.000","ALeRCE","",""
"47364","SN 2019tpp","09:25:00.852","+01:53:18.86","SN Ia","0.06972","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS19zgj","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.385","orange-ATLAS","2019-10-28 15:05:45.000","ATLAS_Bot1","",""
"47359","SN 2019tpk","00:34:58.980","-42:57:29.70","SN Ia","0.06","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS19zft","ATLAS1 - ACAM1, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","18.016","cyan-ATLAS","2019-10-29 08:18:14.000","ATLAS_Bot1","",""
"47355","SN 2019tpg","05:20:54.388","+01:15:32.75","SN Ia","0.065","","","Pan-STARRS1, ZTF, ATLAS","Pan-STARRS1, ZTF, ATLAS","SCAT, ZTF","ATLAS; Pan-STARRS1; ZTF","PS19gil","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM, UH88 - SNIFS","1","1","","19.79","w-PS1","2019-10-27 12:50:24.000","PS1_Bot1","",""
"47353","SN 2019tpe","01:23:39.135","+07:07:09.52","SN Ia","0.05","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS19zdu","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.471","orange-ATLAS","2019-10-28 09:36:00.000","ATLAS_Bot1","",""
"47332","SN 2019tok","06:28:13.561","+59:09:22.90","SN Ia","0.08","WISEA J062813.12+590919.8","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19acjdufa","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.3078","g-ZTF","2019-10-28 11:08:24.000","ALeRCE","",""
"47330","SN 2019toi","03:19:13.665","+07:35:10.69","SN Ia","0.049","WISEA J031913.59+073506.6","","ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","Padova-Asiago, ZTF","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19acjdwqv","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC, P60 - SEDM","1","1","","19.2949","r-ZTF","2019-10-28 09:05:25.000","ALeRCE","",""
"47314","SN 2019tns","01:59:04.787","-17:18:26.48","SN Ia","0.09","","","Pan-STARRS1, ZTF, ATLAS","Pan-STARRS1, ZTF, ATLAS","ZTF","ATLAS; Pan-STARRS1; ZTF","PS19gif","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.17","w-PS1","2019-10-25 08:26:52.000","PS1_Bot1","",""
"47290","SN 2019tmu","06:27:43.057","+26:53:39.61","SN Ia","0.038","","","ATLAS, ZTF","ATLAS, ZTF","Padova-Asiago, ZTF","ATLAS; ZTF","ATLAS19zay","ATLAS1 - ACAM1, P48 - ZTF-Cam","Ekar - AFOSC, P60 - SEDM","1","1","","19.136","cyan-ATLAS","2019-10-27 13:17:45.000","ATLAS_Bot1","",""
"47286","SN 2019tmq","20:21:10.779","+02:48:28.74","SN Ia","0.04","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19acitnck","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.29","r-ZTF","2019-10-27 02:02:59.000","ZTF_AMPEL_NEW","",""
"47285","SN 2019tmp","17:05:45.050","+80:16:08.90","SN Ia","0.087","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF19acitkzs","Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.81","r-ZTF","2019-10-27 02:08:50.000","ZTF_AMPEL_NEW","",""
"47281","SN 2019tml","18:32:15.315","+43:47:44.77","SN Ia","0.09","","","ZTF","ZTF","ZTF","ZTF","ZTF19acgemxh","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.99","g-ZTF","2019-10-20 02:53:38.000","ZTF_AMPEL_COMPLETE","",""
"47230","SN 2019tkn","00:25:42.053","+08:38:08.36","SN Ia","0.043","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ePESSTO+","ATLAS; Pan-STARRS1; ZTF","ZTF19achetvw","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.8204","g-ZTF","2019-10-25 05:16:48.000","ZTF_CLU_PUBLIC","",""
"47218","SN 2019tkb","21:43:53.439","-10:11:02.22","SN Ia","0.02","WISEA J214353.42-101101.1","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19acihlft","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1556","r-ZTF","2019-10-26 04:21:31.000","ALeRCE","",""
"47217","SN 2019tka","19:19:34.400","+61:50:49.00","SN Ia","0.05","2MASS J19193451+6150494","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19acihgng","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4729","g-ZTF","2019-10-26 04:04:27.000","ALeRCE","",""
"47216","SN 2019tjz","17:36:01.983","+53:09:08.27","SN Ia","0.07","SDSS J173602.08+530906.4","0.044","ALeRCE, ZTF","ZTF","ZTF","ALeRCE; ZTF","ZTF19acihfxz","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4706","g-ZTF","2019-10-26 04:01:48.000","ALeRCE","",""
"47204","SN 2019tjn","10:49:21.960","+17:13:25.75","SN Ia","0.06","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19yxv","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.043","orange-ATLAS","2019-10-25 14:21:07.000","ATLAS_Bot1","",""
"47200","SN 2019tjj","10:19:42.380","+43:21:58.61","SN Ia","0.02611","","","GaiaAlerts","GaiaAlerts","LOSS","GaiaAlerts","Gaia19etw","Gaia - Gaia-photometric","Lick-3m - KAST","1","1","","16.47","G-Gaia","2019-10-25 13:32:09.000","Gaia_Bot1","",""
"47197","SN 2019tjg","10:14:03.033","+15:16:12.86","SN Ia","0.08","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19acgjojy","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.81","r-ZTF","2019-10-20 12:25:55.000","ZTF_Bot1","",""
"47193","SN 2019tjc","10:01:51.583","+17:40:53.64","SN Ia","0.074","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19yvq","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.065","orange-ATLAS","2019-10-25 14:15:21.000","ATLAS_Bot1","",""
"47192","SN 2019tjb","10:42:08.980","+09:23:30.72","SN Ia","0.067","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ATLAS19yvn","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.508","orange-ATLAS","2019-10-25 14:44:09.000","ATLAS_Bot1","",""
"47191","SN 2019tja","22:14:32.520","-69:22:12.14","SN Ia","0.010621","IC 5173B","0.010621","ASAS-SN, GaiaAlerts, MASTER","ASAS-SN, GaiaAlerts, MASTER","Global SN Project","ASAS-SN; GaiaAlerts; MASTER","ASASSN-19zv","ASASSN-2 - Cassius, Gaia - Gaia-photometric, Other - Other","FTS - FLOYDS-S","1","1","","17.4","g-Sloan","2019-10-25 05:02:24.000","Stanek","",""
"47190","SN 2019tiz","03:34:51.070","-02:49:48.53","SN Ia","0.038","WISEA J033451.06-024948.3","","ASAS-SN, ZTF, Pan-STARRS1","ASAS-SN, ZTF, Pan-STARRS1","UCSC, ZTF","ASAS-SN; Pan-STARRS1; ZTF","ASASSN-19zu","ASASSN-1 - Brutus, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM","1","1","","18","g-Sloan","2019-10-24 11:45:36.000","Stanek","",""
"47181","SN 2019tiq","03:50:20.037","+30:02:06.03","SN Ia","0.05","WISEA J035020.10+300206.7","","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19acgxbwo","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5194","g-ZTF","2019-10-25 09:41:55.000","ALeRCE","",""
"47162","SN 2019thx","10:57:15.780","-05:07:10.63","SN Ia","0.02433","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS1","ATLAS, GaiaAlerts, ZTF, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS19yui","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","17.417","orange-ATLAS","2019-10-24 15:01:26.000","ATLAS_Bot1","",""
"47158","SN 2019tht","02:01:15.565","+03:54:22.81","SN Ia","0.09","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19yud","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.146","cyan-ATLAS","2019-10-23 09:20:09.000","ATLAS_Bot1","",""
"47123","SN 2019tgm","22:18:10.970","+45:43:10.13","SN Ia","0.019107","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","None","ATLAS; GaiaAlerts","ATLAS19ysj","ATLAS1 - ACAM1, Gaia - Gaia-photometric","Other - Other","1","1","","18.993","cyan-ATLAS","2019-10-24 04:49:26.000","ATLAS_Bot1","",""
"47117","SN 2019tgg","09:59:00.510","+12:44:57.59","SN Ia","0.0894","","","GaiaAlerts, ZTF, Pan-STARRS1","GaiaAlerts, ZTF, Pan-STARRS1","ZTF","GaiaAlerts; Pan-STARRS1; ZTF","Gaia19esx","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","18.6","G-Gaia","2019-10-22 15:43:12.000","Gaia_Bot1","",""
"47095","SN 2019tfk","15:30:31.690","+82:26:56.18","SN Ia","0.022","","","ATLAS, MASTER, GaiaAlerts, ZTF","ATLAS, MASTER, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; MASTER; ZTF","ATLAS19ysh","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.677","cyan-ATLAS","2019-10-24 04:58:04.000","ATLAS_Bot1","",""
"47085","SN 2019tfa","19:17:14.570","+79:18:28.94","SN Ia","0.05","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19acgqjln","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5","r-ZTF","2019-10-23 03:28:37.000","ZTF_AMPEL_NEW","",""
"47082","SN 2019tex","21:05:34.771","-20:14:48.32","SN Ia","0.107","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19acgfowd","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.08","g-ZTF","2019-10-20 04:23:30.000","ZTF_AMPEL_NEW","",""
"47073","SN 2019teo","22:19:25.780","-07:29:58.63","SN Ia","0.0373","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","adH0cc","ATLAS; GaiaAlerts","ATLAS19ynv","ATLAS1 - ACAM1, Gaia - Gaia-photometric","VLT-UT1 - FORS2","1","1","","19.42","cyan-ATLAS","2019-10-22 07:03:21.000","ATLAS_Bot1","",""
"47054","SN 2019tdw","09:27:36.530","+37:00:34.08","SN Ia","0.1","WISEA J092736.27+370033.1","0.096184","ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","None","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19achtewn","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.1044","g-ZTF","2019-10-23 12:08:46.000","ALeRCE","",""
"47043","SN 2019tdl","01:44:41.501","+07:56:50.40","SN Ia","0.064","SDSS J014441.52+075650.3","0.38","ALeRCE, ATLAS, Pan-STARRS1, ZTF","ZTF, ATLAS, Pan-STARRS1","None, ZTF","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19acgrbeb","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM","1","1","","19.2612","r-ZTF","2019-10-23 07:03:52.000","ALeRCE","",""
"47037","SN 2019tdf","17:46:28.970","+30:42:24.77","SN Ia","0.0155","UGC 10976","0.016401","ALeRCE, Pan-STARRS1, ATLAS, ZTF, GaiaAlerts","ZTF, Pan-STARRS1, ATLAS, GaiaAlerts","UCSC, ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19achaspq","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM","1","1","","19.8956","r-ZTF","2019-10-23 02:08:40.000","ALeRCE","",""
"46994","SN 2019tbo","07:30:36.047","+45:12:43.40","SN Ia","0.068","WISEA J073037.11+451243.8","0.068839","ALeRCE, ATLAS, ZTF, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19achagst","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8797","r-ZTF","2019-10-22 11:45:50.000","ALeRCE","",""
