"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"79894","SN 2021gtp","08:48:50.270","+29:52:13.94","SN Ia","0.019685","","","ZTF","ZTF","UCSC, ZTF","ZTF","ZTF21aapyiku","P48 - ZTF-Cam","Lick-3m - KAST, P60 - SEDM","1","1","","19.94","r-ZTF","2021-03-19 05:09:36.000","ZTF_Bot1","",""
"79704","SN 2021gmk","06:07:26.802","-45:00:14.89","SN Ia","0.041","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS21iqc","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","17.968","orange-ATLAS","2021-03-20 05:29:45.600","ATLAS_Bot1","",""
"79689","SN 2021glv","17:10:21.720","-03:13:51.86","SN Ia","0.029","WISEA J171021.22-031348.5","0.029447","ALeRCE, ATLAS","ZTF, ATLAS","ePESSTO+","ATLAS; ZTF","ZTF21aaqecpl","ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.6307","g-ZTF","2021-03-19 10:36:35.997","ALeRCE","",""
"79566","SN 2021ghc","09:56:32.989","+00:45:08.34","SN Ia","0.046","","","ATLAS, ALeRCE, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","SIRAH","ATLAS; Pan-STARRS1; ZTF","ATLAS21ipw","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SALT - RSS","1","1","","19.669","orange-ATLAS","2021-03-19 08:44:09.600","ATLAS_Bot1","","TESS-active sector/s (35,36);TESS-Sector35"
"79548","SN 2021ggl","14:34:39.162","-08:02:25.93","SN Ia","0.195","","","Pan-STARRS1","Pan-STARRS1","adH0cc","Pan-STARRS1","PS21byg","PS1 - GPC1","VLT-UT1 - FORS2","1","1","","21.99","w-PS1","2021-03-15 13:27:50.400","PS1_Bot1","",""
"79510","SN 2021gez","16:22:10.023","+21:13:19.97","SN Ia","0.03206","","","ATLAS, ALeRCE","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS21img","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.72","cyan-ATLAS","2021-03-18 13:23:31.200","ATLAS_Bot1","",""
"79476","SN 2021gdr","16:48:37.441","+36:08:54.80","SN Ia","0.052228","WISEA J164837.50+360853.5","0.052228","ALeRCE","ZTF","ZTF","ZTF","ZTF21aaplooj","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3858","r-ZTF","2021-03-18 09:12:50.999","ALeRCE","",""
"79455","SN 2021gcw","13:08:30.753","+16:07:29.96","SN Ia","0.081438","WISEA J130830.53+160730.1","0.081438","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF21aaphvyi","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.8364","g-ZTF","2021-03-18 06:50:49.998","ALeRCE","",""
"79423","SN 2021gbq","18:41:50.481","+61:15:23.18","SN Ia","0.0705","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF21aaopqqk","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.54","g-ZTF","2021-03-07 09:50:24.000","ZTF_Bot1","",""
"79358","SN 2021fzf","13:06:28.830","+56:38:03.01","SN Ia","0.061786","MCG +10-19-028","0.061786","ALeRCE, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF21aapfpod","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.8602","g-ZTF","2021-03-17 07:44:56.996","ALeRCE","",""
