"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"6252","SN 2013eg","10:43:28.190","-25:51:52.09","SN Ia","","ESO 501-84      ","","","","","","","","","0","1","","17.5","","2013-06-10 00:00:00.000","","[Discoverer=Hamuy, Pignata et al. (CHASE); DiscoveryRef=CBET 3600; PositionRef=CBET 3600; Orig Type=Ia]",""
"6251","SN 2013ef","01:55:20.710","+06:36:35.32","SN Ia","","UGC 1395        ","","","","","","","","","0","1","","16.1","","2013-07-04 00:00:00.000","","[Discoverer=Stanek, Prieto et al. (ASAS-SN); DiscoveryRef=CBET 3599; PositionRef=CBET 3599; Orig Type=Ia]",""
"6249","SN 2013ed","16:16:24.290","+51:53:05.71","SN Ia","0.033","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","16.7","","2013-07-18 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 3596; PositionRef=CBET 3596; Orig Type=Ia]",""
"6248","SN 2013ec","16:27:50.261","+40:28:21.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","19","","2013-07-02 00:00:00.000","","[Discoverer=Zhou, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3595; PositionRef=CBET 3595; Orig Type=Ia]",""
"6247","SN 2013eb","15:11:14.851","+46:09:11.48","SN Ia","0.0186","UGC 9761        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17.8","","2013-07-13 00:00:00.000","","[Discoverer=Ciabattari et al.; DiscoveryRef=CBET 3594; PositionRef=CBET 3594; Orig Type=Ia]",""
"6246","SN 2013ea","01:20:16.450","+30:10:55.70","SN Ia","0.04","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","16.9","","2013-07-09 00:00:00.000","","[Discoverer=Shurpakov (MASTER); DiscoveryRef=CBET 3593; PositionRef=CBET 3593; Orig Type=Ia]",""
"6243","SN 2013dy","22:18:17.599","+40:34:09.59","SN Ia","0.0039","NGC 7250        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17","","2013-07-10 00:00:00.000","","[Discoverer=Casper, Zheng et al. (LOSS); DiscoveryRef=CBET 3588; PositionRef=CBET 3588; Orig Type=Ia]",""
"6240","SN 2013dv","17:03:10.730","+27:26:53.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2013-07-02 00:00:00.000","","[Discoverer=Hurtado (La Sagra Sky Survey); DiscoveryRef=CBET 3580; PositionRef=CBET 3580; Orig Type=Ia]",""
"6238","SN 2013dt","22:44:35.599","+03:38:38.00","SN Ia","","NGC 7367        ","","","","","","","","","0","1","","16.8","","2013-06-30 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3578; PositionRef=CBET 3578; Orig Type=Ia]",""
"6236","SN 2013dr","17:19:30.259","+47:42:04.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.3","","2013-07-01 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Rossi, Petroni; DiscoveryRef=CBET 3576; PositionRef=CBET 3576; Orig Type=Ia]",""
"6235","SN 2013dq","00:51:34.841","+29:43:14.92","SN Ia","","UGC 525         ","","","","","","","","","0","1","","16.8","","2013-06-27 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3573; PositionRef=CBET 3573; Orig Type=Ia]",""
"6234","SN 2013dp","16:17:32.311","+31:34:57.22","SN Ia","","UGC 10313       ","","","","","","","","","0","1","","16.3","","2013-06-10 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3572; PositionRef=CBET 3572; Orig Type=Ia]",""
"6231","SN 2013dm","13:50:52.901","-30:17:09.38","SN Ia","","ESO 445-G56     ","","","","","","","","","0","1","","18.4","","2013-05-02 00:00:00.000","","[Discoverer=Conseil (TAROT); DiscoveryRef=CBET 3569; PositionRef=CBET 3569; Orig Type=Ia]",""
"6230","SN 2013dl","01:18:41.760","-07:26:39.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.2","","2013-06-17 00:00:00.000","","[Discoverer=Kochanek, Prieto et al. (All-Sky Automated Survey for SuperNovae); DiscoveryRef=CBET 3568; PositionRef=CBET 3568; Orig Type=Ia]",""
"6228","SN 2013dj","16:46:01.939","+06:27:59.29","SN Ia","","UGC 10535       ","","","","","","","","","0","1","","16.6","","2013-06-10 00:00:00.000","","[Discoverer=Tyurina (MASTER); DiscoveryRef=CBET 3563; PositionRef=CBET 3563; Orig Type=Ia]",""
"6227","SN 2013di","22:36:27.461","+21:36:54.29","SN Ia","","NGC 7321        ","","","","","","","","","0","1","","18.2","","2013-06-12 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3562; PositionRef=CBET 3562; Orig Type=Ia]",""
"6226","SN 2013dh","15:30:01.090","+12:59:12.91","SN Ia","","NGC 5936        ","","","","","","","","","0","1","","18","","2013-06-12 00:00:00.000","","[Discoverer=Kumar, Fuller, Zheng et al. (LOSS); DiscoveryRef=CBET 3561; PositionRef=CBET 3561; Orig Type=Ia]",""
"6223","SN 2013de","10:02:07.970","+11:57:05.18","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2013-05-31 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3555; PositionRef=CBET 3555; Orig Type=Ia]",""
"6222","SN 2013dd","15:36:05.150","+13:57:06.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-05-27 00:00:00.000","","[Discoverer=Shumkov (MASTER); DiscoveryRef=CBET 3552; PositionRef=CBET 3552; Orig Type=Ia]",""
"6219","SN 2013da","13:45:36.209","-07:19:32.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2013-06-05 00:00:00.000","","[Discoverer=Prieto et al. (All-Sky Automated Survey for SuperNovae); DiscoveryRef=CBET 3549; PositionRef=CBET 3549; Orig Type=Ia]",""
"6216","SN 2013cy","22:10:34.210","-22:39:47.99","SN Ia","","ESO 532-25      ","","","","","","","","","0","1","","16.8","","2013-05-31 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 3546; PositionRef=CBET 3546; Orig Type=Ia]",""
"6215","SN 2013cx","17:04:16.049","+41:30:37.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-05-21 00:00:00.000","","[Discoverer=Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3545; PositionRef=CBET 3545; Orig Type=Ia]",""
"6214","SN 2013cw","16:41:27.170","+57:47:04.99","SN Ia","0.0176","NGC 6211        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","16.9","","2013-05-29 00:00:00.000","","[Discoverer=Cox, Newton, Puckett; DiscoveryRef=CBET 3544; PositionRef=CBET 3544; Orig Type=Ia]",""
"6211","SN 2013ct","01:12:54.919","+00:58:45.70","SN Ia","","NGC 428         ","","","","","","","","","0","1","","12.2","","2013-05-10 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3539; PositionRef=CBET 3539; Orig Type=Ia]",""
"6210","SN 2013cs","13:15:14.810","-17:57:55.58","SN Ia","","ESO 576-17      ","","","","","","","","","0","1","","14.7","","2013-05-14 00:00:00.000","","[Discoverer=Howerton, McNaught, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3533; PositionRef=CBET 3533; Orig Type=Ia]",""
"6207","SN 2013cp","16:19:52.219","+38:56:07.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","2013-05-07 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3528; PositionRef=CBET 3528; Orig Type=Ia]",""
"6203","SN 2013cl","16:19:31.589","+24:47:11.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2013-05-03 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3524; PositionRef=CBET 3524; Orig Type=Ia]",""
"6202","SN 2013ck","15:24:29.071","+48:32:54.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-05-08 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3523; PositionRef=CBET 3523; Orig Type=Ia]",""
"6200","SN 2013ci","17:04:53.681","+09:07:59.59","SN Ia","0.036","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17.1","","2013-05-04 00:00:00.000","","[Discoverer=Hurtado, Vida et al. (La Sagra Sky Survey); DiscoveryRef=CBET 3519; PositionRef=CBET 3519; Orig Type=Ia]",""
"6198","SN 2013cg","09:26:56.770","-24:46:59.59","SN Ia","","NGC 2891        ","","","","","","","","","0","1","","13.3","","2013-05-06 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 3517; PositionRef=CBET 3517; Orig Type=Ia]",""
"6195","SN 2013cd","08:16:49.001","+60:29:28.50","SN Ia","","UGC 4294        ","","","","","","","","","0","1","","17","","2013-04-28 00:00:00.000","","[Discoverer=Rich et al.; DiscoveryRef=CBET 3514; PositionRef=CBET 3514; Orig Type=Ia?]",""
"6193","SN 2013cb","11:35:01.740","+16:07:16.79","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-05-01 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3509; PositionRef=CBET 3509; Orig Type=Ia]",""
"6190","SN 2013bz","13:26:51.319","-10:01:32.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.7","","2013-04-21 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3507; PositionRef=CBET 3507; Orig Type=Ia]",""
"6188","SN 2013bx","12:47:24.221","+32:32:49.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2013-04-09 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3501; PositionRef=CBET 3501; Orig Type=Ia]",""
"6185","SN 2013bt","14:21:15.130","+61:34:15.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2013-04-18 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3497; PositionRef=CBET 3497; Orig Type=Ia]",""
"6184","SN 2013bs","17:17:22.030","+41:04:00.19","SN Ia","","NGC 6343        ","","","","","","","","","0","1","","17","","2013-04-18 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3494; PositionRef=CBET 3494; Orig Type=Ia]",""
"6182","SN 2013bq","13:04:08.450","+43:54:07.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3492; PositionRef=CBET 3492; Orig Type=Ia]",""
"6181","SN 2013bp","12:19:04.879","+42:24:53.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.6","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3491; PositionRef=CBET 3491; Orig Type=Ia]",""
"6180","SN 2013bo","13:17:29.189","+42:44:29.62","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.6","","2013-04-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3490; PositionRef=CBET 3490; Orig Type=Ia]",""
"6172","SN 2013bg","10:20:42.871","-06:26:56.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-04-04 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3479; PositionRef=CBET 3479; Orig Type=Ia]",""
"6171","SN 2013bf","08:58:36.070","+54:19:25.72","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.8","","2013-03-28 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3471; PositionRef=CBET 3471; Orig Type=Ia]",""
"6170","SN 2013be","12:36:27.670","+11:45:28.12","SN Ia","","IC 3573         ","","","","","","","","","0","1","","19.6","","2013-04-05 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3470; PositionRef=CBET 3470; Orig Type=Ia]",""
"6168","SN 2013bc","13:10:21.310","-07:10:24.10","SN Ia","","IC 4209         ","","","","","","","","","0","1","","18.1","","2013-03-31 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3468; PositionRef=CBET 3468; Orig Type=Ia]",""
"6166","SN 2013ba","13:52:56.630","+21:56:21.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.9","","2013-04-04 00:00:00.000","","[Discoverer=Matsumoto, Tominaga, Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3465; PositionRef=CBET 3465; Orig Type=Ia]",""
"6164","SN 2013az","05:39:52.130","-40:30:28.12","SN Ia","","ESO 306-16      ","","","","","","","","","0","1","","17.1","","2013-03-24 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3457; PositionRef=CBET 3457; Orig Type=Ia]",""
"6163","SN 2013ay","18:42:37.860","-64:56:13.49","SN Ia","","IC 4745         ","","","","","","","","","0","1","","15.1","","2013-03-26 00:00:00.000","","[Discoverer=Hamuy, Pignata et al. (CHASE); DiscoveryRef=CBET 3456; PositionRef=CBET 3456; Orig Type=Ia]",""
"6162","SN 2013ax","07:20:03.509","+55:55:48.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2013-03-07 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3455; PositionRef=CBET 3455; Orig Type=Ia]",""
"6160","SN 2013av","12:19:32.650","+38:02:25.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-03-01 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3452; PositionRef=CBET 3452; Orig Type=Ia]",""
"6159","SN 2013au","12:21:14.160","+47:29:52.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-03-23 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3451; PositionRef=CBET 3451; Orig Type=Ia]",""
"6157","SN 2013as","11:52:52.339","-18:59:19.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-03-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3447; PositionRef=CBET 3447; Orig Type=Ia]",""
"6156","SN 2013ar","08:37:45.019","+49:28:32.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2013-03-14 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3446; PositionRef=CBET 3446; Orig Type=Ia]",""
"6154","SN 2013ap","12:58:24.919","+12:35:53.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.5","","2013-02-18 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3443; PositionRef=CBET 3443; Orig Type=Ia]",""
"6153","SN 2013ao","11:44:44.741","-20:31:41.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2013-03-04 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3442; PositionRef=CBET 3442; Orig Type=Ia]",""
"6150","SN 2013al","11:14:54.070","+29:35:06.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2013-03-03 00:00:00.000","","[Discoverer=Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3438; PositionRef=CBET 3438; Orig Type=Ia]",""
"6148","SN 2013aj","13:54:00.679","-07:55:43.79","SN Ia","","NGC 5339        ","","","","","","","","","0","1","","14.7","","2013-03-03 00:00:00.000","","[Discoverer=Cortini; DiscoveryRef=CBET 3434; PositionRef=CBET 3434; Orig Type=Ia]",""
"6146","SN 2013ah","09:44:33.799","+55:45:44.39","SN Ia","","UGC 5201        ","","","","","","","","","0","1","","18.6","","2013-02-22 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3430; PositionRef=CBET 3430; Orig Type=Ia]",""
"6145","SN 2013ag","12:51:35.021","+26:37:45.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","16","","2013-03-03 00:00:00.000","","[Discoverer=Dhungana et al. (ROTSE); DiscoveryRef=CBET 3428; PositionRef=CBET 3428; Orig Type=Ia]",""
"6143","SN 2013ae","02:41:53.160","+43:23:58.88","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.2","","2013-02-19 00:00:00.000","","[Discoverer=Jin, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3426; PositionRef=CBET 3426; Orig Type=Ia]",""
"6142","SN 2013ad","03:38:41.030","+10:18:27.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-02-15 00:00:00.000","","[Discoverer=Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3425; PositionRef=CBET 3425; Orig Type=Ia]",""
"6139","SN 2013aa","14:32:33.881","-44:13:27.80","SN Ia","","NGC 5643        ","","","","","","","","","0","1","","11.9","","2013-02-13 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3416; PositionRef=CBET 3416; Orig Type=Ia]",""
"6368","SN 2013Y","12:09:39.701","+16:12:14.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.7","","2013-02-06 00:00:00.000","","[Discoverer=Morokuma, Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3414; PositionRef=CBET 3414; Orig Type=Ia]",""
"6367","SN 2013X","12:17:15.190","+46:43:35.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2013-02-06 00:00:00.000","","[Discoverer=Ferrante et al. (ROTSE); DiscoveryRef=CBET 3413; PositionRef=CBET 3413; Orig Type=Ia]",""
"6365","SN 2013V","09:08:41.539","+44:48:49.61","SN Ia","","UGC 4798        ","","","","","","","","","0","1","","17.8","","2013-01-06 00:00:00.000","","[Discoverer=Crowley, Newton, Puckett; DiscoveryRef=CBET 3411; PositionRef=CBET 3411; Orig Type=Ia]",""
"6363","SN 2013T","13:10:19.680","+32:28:25.72","SN Ia","","UGC 8250        ","","","","","","","","","0","1","","17","","2013-01-22 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3407; PositionRef=CBET 3407; Orig Type=Ia]",""
"6362","SN 2013S","03:35:30.290","+38:16:59.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.1","","2013-01-25 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3406; PositionRef=CBET 3406; Orig Type=Ia]",""
"6361","SN 2013R","09:31:35.120","+35:23:42.40","SN Ia","","UGC 8250        ","","","","","","","","","0","1","","17","","2013-01-22 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3405; PositionRef=CBET 3405; Orig Type=Ia]",""
"6360","SN 2013Q","23:47:07.870","+29:29:11.51","SN Ia","","NGC 7753        ","","","","","","","","","0","1","","17.5","","2013-01-25 00:00:00.000","","[Discoverer=Xu, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3401; PositionRef=CBET 3401; Orig Type=Ia]",""
"6358","SN 2013O","08:52:05.981","+52:36:06.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2013-01-21 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3395; PositionRef=CBET 3395; Orig Type=Ia]",""
"6357","SN 2013N","11:50:04.130","+21:16:45.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.9","","2013-01-26 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3394; PositionRef=CBET 3394; Orig Type=Ia]",""
"6356","SN 2013M","13:59:56.681","-37:51:49.39","SN Ia","","ESO 325-G43     ","","","","","","","","","0","1","","17.4","","2013-01-20 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3393; PositionRef=CBET 3393; Orig Type=Ia]",""
"6352","SN 2013I","02:49:42.170","+00:45:35.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.6","","2013-01-11 00:00:00.000","","[Discoverer=Tanaka et al. (Kiso Supernova Survey); DiscoveryRef=CBET 3386; PositionRef=CBET 3386; Orig Type=Ia?]",""
"6326","SN 2013H","09:06:30.701","-75:49:01.49","SN Ia","","ESO 36-G19      ","","","","","","","","","0","1","","16.5","","2013-01-06 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3385; PositionRef=CBET 3385; Orig Type=Ia]",""
"6299","SN 2013G","11:53:21.319","+20:45:10.01","SN Ia","","NGC 3947        ","","","","","","","","","0","1","","16","","2013-01-05 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3381; PositionRef=CBET 3381; Orig Type=Ia]",""
"6245","SN 2013E","10:00:05.520","-34:14:01.28","SN Ia","","IC 2532         ","","","","","","","","","0","1","","14.8","","2013-01-04 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3378; PositionRef=CBET 3378; Orig Type=Ia]",""
"6218","SN 2013D","03:41:15.130","+15:23:03.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-01-03 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3377; PositionRef=CBET 3377; Orig Type=Ia]",""
"6191","SN 2013C","11:05:55.219","+72:31:20.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2013-01-04 00:00:00.000","","[Discoverer=Tsuboi; DiscoveryRef=CBET 3375; PositionRef=CBET 3375; Orig Type=Ia]",""
"6165","SN 2013B","09:04:00.799","-72:03:24.80","SN Ia","","ESO 60-26       ","","","","","","","","","0","1","","17.2","","2013-01-03 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3374; PositionRef=CBET 3374; Orig Type=Ia]",""
"6138","SN 2013A","02:22:04.260","+32:13:57.79","SN Ia","0.0338","UGC 1825        ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","17.6","","2013-01-01 00:00:00.000","","[Discoverer=Gagliano, Newton, Puckett; DiscoveryRef=CBET 3371; PositionRef=CBET 3371; Orig Type=Ia]",""
"6118","SN 2012ik","07:35:26.911","+51:52:50.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.4","","2012-12-23 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3383; PositionRef=CBET 3383; Orig Type=Ia]",""
"6117","SN 2012ij","11:40:15.840","+17:27:22.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2012-12-29 00:00:00.000","","[Discoverer=Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3370; PositionRef=CBET 3370; Orig Type=Ia]",""
"6116","SN 2012ii","07:16:55.481","+51:45:47.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","19","","2012-12-23 00:00:00.000","","[Discoverer=Zhou, Chen, Wang,, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3369; PositionRef=CBET 3369; Orig Type=Ia]",""
"6115","SN 2012ih","06:56:42.910","+48:54:10.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.4","","2012-12-10 00:00:00.000","","[Discoverer=Zhang, Zhou, Chen, Wang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3366; PositionRef=CBET 3366; Orig Type=Ia]",""
"6114","SN 2012ig","21:14:22.870","+15:14:40.70","SN Ia","","UGC 11706       ","","","","","","","","","0","1","","16.6","","2012-12-21 00:00:00.000","","[Discoverer=Xu, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3364; PositionRef=CBET 3364; Orig Type=Ia]",""
"6113","SN 2012if","11:17:30.290","+51:24:07.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2012-12-20 00:00:00.000","","[Discoverer=Dimai; DiscoveryRef=CBET 3363; PositionRef=CBET 3363; Orig Type=Ia]",""
"6112","SN 2012ie","02:24:22.351","+40:51:03.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2012-12-23 00:00:00.000","","[Discoverer=Zhou, Chen, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3362; PositionRef=CBET 3362; Orig Type=Ia]",""
"6111","SN 2012id","04:42:41.141","+18:34:59.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.2","","2012-12-20 00:00:00.000","","[Discoverer=Koishikawa; DiscoveryRef=CBET 3361; PositionRef=CBET 3361; Orig Type=Ia]",""
"6110","SN 2012ic","03:13:53.710","+33:58:03.68","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2012-12-22 00:00:00.000","","[Discoverer=Li Zhou, Xiaofeng Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3360; PositionRef=CBET 3360; Orig Type=Ia]",""
"6108","SN 2012ia","10:35:48.240","+39:00:27.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2012-12-12 00:00:00.000","","[Discoverer=Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3358; PositionRef=CBET 3358; Orig Type=Ia]",""
"6106","SN 2012hz","06:43:41.890","+52:12:33.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.6","","2012-12-10 00:00:00.000","","[Discoverer=Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3356; PositionRef=CBET 3356; Orig Type=Ia]",""
"6105","SN 2012hy","13:01:23.410","-30:56:29.18","SN Ia","","NGC 4903        ","","","","","","","","","0","1","","16.5","","2012-11-11 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 3355; PositionRef=CBET 3355; Orig Type=Ia]",""
"6104","SN 2012hx","05:01:29.880","-13:43:46.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2012-12-04 00:00:00.000","","[Discoverer=Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3354; PositionRef=CBET 3354; Orig Type=Ia]",""
"6101","SN 2012hu","23:01:29.359","+06:53:38.11","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2012-12-11 00:00:00.000","","[Discoverer=Drake et al. (Mount Lemmon Survey); DiscoveryRef=CBET 3351; PositionRef=CBET 3351; Orig Type=Ia]",""
"6100","SN 2012ht","10:53:22.750","+16:46:34.90","SN Ia","","NGC 3447        ","","","","","","","","","0","1","","18.6","","2012-12-18 00:00:00.000","","[Discoverer=Nishiyama, Kabashima; DiscoveryRef=CBET 3349; PositionRef=CBET 3349; Orig Type=Ia]",""
