"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"6378","SN 2014ah","11:55:30.830","+11:55:26.29","SN Ia","","MCG +02-30-44   ","","","","","","","","","0","1","","15.4","","2014-03-12 00:00:00.000","","[Discoverer=Leonini et al.; DiscoveryRef=CBET 3835; PositionRef=CBET 3835; Orig Type=Ia]",""
"6377","SN 2014ag","16:30:40.680","+44:30:34.70","SN Ia","","MCG +07-34-101  ","","","","","","","","","0","1","","15.5","","2014-03-11 00:00:00.000","","[Discoverer=Gress (MASTER); DiscoveryRef=CBET 3834; PositionRef=CBET 3834; Orig Type=Ia]",""
"6375","SN 2014ae","11:19:20.950","+72:48:57.31","SN Ia","","MCG +12-11-15   ","","","","","","","","","0","1","","15.4","","2014-03-03 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3832; PositionRef=CBET 3832; Orig Type=Ia]",""
"6373","SN 2014ac","15:04:40.090","+12:37:54.01","SN Ia","","NGC 5837        ","","","","","","","","","0","1","","16.6","","2014-03-09 00:00:00.000","","[Discoverer=Leonini et al.; DiscoveryRef=CBET 3829; PositionRef=CBET 3829; Orig Type=Ia]",""
"6371","SN 2014aa","11:45:03.581","+19:58:25.39","SN Ia","","NGC 3861        ","","","","","","","","","0","1","","15.7","","2014-03-07 00:00:00.000","","[Discoverer=Arbour; DiscoveryRef=CBET 3823; PositionRef=CBET 3823; Orig Type=Ia]",""
"6508","SN 2014Z","01:44:07.990","-61:07:07.39","SN Ia","","ESO 114-G4      ","","","","","","","","","0","1","","15.2","","2014-03-06 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3822; PositionRef=CBET 3822; Orig Type=Ia]",""
"6506","SN 2014X","12:10:40.219","-34:03:40.72","SN Ia","","ESO 379-G31     ","","","","","","","","","0","1","","16.8","","2014-03-01 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3820; PositionRef=CBET 3820; Orig Type=Ia]",""
"6505","SN 2014W","11:54:42.290","+44:01:18.08","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2014-01-25 00:00:00.000","","[Discoverer=Dhungana, Ferrante et al. (ROTSE); DiscoveryRef=CBET 3819; PositionRef=CBET 3819; Orig Type=Ia]",""
"6499","SN 2014Q","08:18:50.201","+57:06:02.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2014-01-29 00:00:00.000","","[Discoverer=Morokuma et al. (KISS); Zhou, Mo, Wang, Zhang (TNTS); DiscoveryRef=CBET 3806; PositionRef=CBET 3806; Orig Type=Ia]",""
"6495","SN 2014M","15:15:17.210","+75:29:09.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2014-01-18 00:00:00.000","","[Discoverer=Ma, Wei, Shang, Wang, Wang; DiscoveryRef=CBET 3796; PositionRef=CBET 3796; Orig Type=Ia]",""
"6493","SN 2014K","08:51:08.150","+71:50:33.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.4","","2014-01-22 00:00:00.000","","[Discoverer=Cortini; DiscoveryRef=CBET 3794; PositionRef=CBET 3794; Orig Type=Ia]",""
"6492","SN 2014J","09:55:42.139","+69:40:26.00","SN Ia","","NGC 3034        ","","","","","","","","","0","1","","10.5","","2014-01-21 00:00:00.000","","[Discoverer=Fossey; DiscoveryRef=CBET 3792; PositionRef=CBET 3792; Orig Type=Ia]",""
"6491","SN 2014I","05:42:19.800","-25:32:39.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2014-01-17 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3791; PositionRef=CBET 3790; Orig Type=Ia]",""
"6490","SN 2014H","03:37:01.481","+32:05:01.72","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.8","","2014-01-14 00:00:00.000","","[Discoverer=Li, Mo, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3788; PositionRef=CBET 3788; Orig Type=Ia]",""
"6478","SN 2014E","12:03:31.241","+02:02:35.70","SN Ia","","UGC 7034        ","","","","","","","","","0","1","","16.4","","2014-01-07 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3784; PositionRef=CBET 3784; Orig Type=Ia]",""
"6451","SN 2014D","12:10:36.761","+18:49:35.40","SN Ia","","UGC 7170        ","","","","","","","","","0","1","","17","","2014-01-01 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3778; PositionRef=CBET 3778; Orig Type=Ia]",""
"6349","SN 2013hw","10:32:55.430","-01:55:13.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2013-12-30 00:00:00.000","","[Discoverer=Shurpakov (MASTER); DiscoveryRef=CBET 3789; PositionRef=CBET 3789; Orig Type=Ia]",""
"6345","SN 2013hs","01:58:53.690","+05:35:25.40","SN Ia","","UGC 1461        ","","","","","","","","","0","1","","15.8","","2013-12-25 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3770; PositionRef=CBET 3770; Orig Type=Ia]",""
"6344","SN 2013hr","14:59:00.850","+49:48:47.59","SN Ia","","NGC 5818        ","","","","","","","","","0","1","","16.2","","2013-12-26 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3769; PositionRef=CBET 3769; Orig Type=Ia]",""
"6343","SN 2013hq","22:24:13.210","+36:05:00.82","SN Ia","","NGC 7276        ","","","","","","","","","0","1","","17.1","","2013-12-13 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3768; PositionRef=CBET 3768; Orig Type=Ia]",""
"6342","SN 2013hp","23:13:59.719","+24:53:38.90","SN Ia","","UGC 12432       ","","","","","","","","","0","1","","18","","2013-12-12 00:00:00.000","","[Discoverer=Li, Wang, Zhang (THU-NAOC Transient Survey); DiscoveryRef=CBET 3764; PositionRef=CBET 3764; Orig Type=Ia]",""
"6340","SN 2013hn","13:48:59.170","-30:17:26.48","SN Ia","","IC 4329         ","","","","","","","","","0","1","","15.2","","2013-12-13 00:00:00.000","","[Discoverer=Sanders Kot, Kot, Coffin; DiscoveryRef=CBET 3762; PositionRef=CBET 3762; Orig Type=Ia]",""
"6339","SN 2013hm","17:50:48.490","+47:11:50.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2013-11-26 00:00:00.000","","[Discoverer=Denisenko (MASTER); DiscoveryRef=CBET 3760; PositionRef=CBET 3760; Orig Type=Ia]",""
"6338","SN 2013hl","11:50:00.161","+21:20:16.58","SN Ia","","NGC 3910        ","","","","","","","","","0","1","","16.7","","2013-12-13 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3759; PositionRef=CBET 3759; Orig Type=Ia]",""
"6337","SN 2013hk","03:02:10.850","+15:55:38.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.9","","2013-12-04 00:00:00.000","","[Discoverer=Shappee, Prieto et al. (ASAS-SN); DiscoveryRef=CBET 3758; PositionRef=CBET 3758; Orig Type=Ia]",""
"6335","SN 2013hi","03:14:24.730","+46:10:49.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.2","","2013-11-11 00:00:00.000","","[Discoverer=Denisenko (MASTER); DiscoveryRef=CBET 3756; PositionRef=CBET 3756; Orig Type=Ia]",""
"6334","SN 2013hh","11:29:04.370","+17:14:09.49","SN Ia","","UGC 6483        ","","","","","","","","","0","1","","15.9","","2013-12-11 00:00:00.000","","[Discoverer=Turpin; DiscoveryRef=CBET 3754; PositionRef=CBET 3754; Orig Type=Ia]",""
"6333","SN 2013hg","12:09:55.690","+29:53:51.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.9","","2013-12-10 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3753; PositionRef=CBET 3753; Orig Type=Ia]",""
"6328","SN 2013hb","01:50:46.320","+33:06:35.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2013-10-07 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3746; PositionRef=CBET 3746; Orig Type=Ia?]",""
"6325","SN 2013gz","17:46:27.701","+30:42:13.21","SN Ia","","UGC 10976       ","","","","","","","","","0","1","","17.7","","2013-12-02 00:00:00.000","","[Discoverer=Cortini; DiscoveryRef=CBET 3744; PositionRef=CBET 3744; Orig Type=Ia]",""
"6324","SN 2013gy","03:42:16.879","-04:43:18.52","SN Ia","","NGC 1418        ","","","","","","","","","0","1","","18","","2013-12-06 00:00:00.000","","[Discoverer=Kim, Zheng et al. (LOSS); DiscoveryRef=CBET 3743; PositionRef=CBET 3743; Orig Type=Ia]",""
"6322","SN 2013gw","13:22:48.379","+33:30:20.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.5","","2013-11-28 00:00:00.000","","[Discoverer=Shurpakov; DiscoveryRef=CBET 3740; PositionRef=CBET 3740; Orig Type=Ia]",""
"6321","SN 2013gv","03:09:57.310","+19:12:49.21","SN Ia","","IC 1890         ","","","","","","","","","0","1","","17.2","","2013-12-04 00:00:00.000","","[Discoverer=Shima; DiscoveryRef=CBET 3739; PositionRef=CBET 3739; Orig Type=Ia]",""
"6319","SN 2013gt","07:21:31.649","+55:45:32.11","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.6","","2013-11-16 00:00:00.000","","[Discoverer=Sun, Jin, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3737; PositionRef=CBET 3737; Orig Type=Ia]",""
"6318","SN 2013gs","09:31:08.870","+46:23:05.39","SN Ia","","UGC 5066        ","","","","","","","","","0","1","","17.3","","2013-11-29 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3734; PositionRef=CBET 3734; Orig Type=Ia]",""
"6316","SN 2013gq","08:17:53.460","+23:28:10.49","SN Ia","","NGC 2554        ","","","","","","","","","0","1","","15.1","","2013-03-25 00:00:00.000","","[Discoverer=Blanchard, Zheng, Cenko et al. (LOSS); DiscoveryRef=CBET 3730; PositionRef=CBET 3730; Orig Type=Ia]",""
"6315","SN 2013gp","03:26:55.510","-28:46:45.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2013-10-21 00:00:00.000","","[Discoverer=Takats, Pignata et al. (SUDARE/VOICE); DiscoveryRef=CBET 3728; PositionRef=CBET 3728; Orig Type=Ia]",""
"6314","SN 2013go","03:27:44.640","-28:29:13.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2013-10-21 00:00:00.000","","[Discoverer=Takats, Pignata et al. (SUDARE/VOICE); DiscoveryRef=CBET 3728; PositionRef=CBET 3728; Orig Type=Ia]",""
"6313","SN 2013gn","14:18:28.500","+36:30:24.41","SN Ia","","NGC 5557        ","","","","","","","","","0","1","","15.3","","2013-11-16 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3727; PositionRef=CBET 3727; Orig Type=Ia]",""
"6308","SN 2013gi","06:23:47.270","-65:19:48.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2013-11-13 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3714; PositionRef=CBET 3714; Orig Type=Ia]",""
"6307","SN 2013gh","22:02:21.840","-18:55:00.41","SN Ia","","NGC 7183        ","","","","","","","","","0","1","","18.3","","2013-08-08 00:00:00.000","","[Discoverer=Hayakawa, Cenko et al. (LOSS); DiscoveryRef=CBET 3706; PositionRef=CBET 3706; Orig Type=Ia]",""
"6305","SN 2013gf","09:05:26.460","+56:24:12.38","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.3","","2013-11-06 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3702; PositionRef=CBET 3702; Orig Type=Ia]",""
"6301","SN 2013gb","08:58:52.519","+41:35:00.10","SN Ia","","UGC 4700        ","","","","","","","","","0","1","","16.7","","2013-10-31 00:00:00.000","","[Discoverer=Wang, Gao; DiscoveryRef=CBET 3698; PositionRef=CBET 3698; Orig Type=Ia]",""
"6300","SN 2013ga","22:04:21.530","+39:44:34.01","SN Ia","","UGC 1189        ","","","","","","","","","0","1","","15.3","","2013-10-19 00:00:00.000","","[Discoverer=Rich, Harvey, Marion, Rosebush, Sawyer; DiscoveryRef=CBET 3696; PositionRef=CBET 3696; Orig Type=Ia]",""
"6298","SN 2013fz","04:23:46.440","-51:35:46.28","SN Ia","","NGC 1578        ","","","","","","","","","0","1","","15.1","","2013-11-02 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3692; PositionRef=CBET 3692; Orig Type=Ia]",""
"6297","SN 2013fy","21:37:27.120","-47:01:54.80","SN Ia","","ESO 287-G40     ","","","","","","","","","0","1","","16.5","","2013-10-25 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3687; PositionRef=CBET 3687; Orig Type=Ia]",""
"6296","SN 2013fx","23:03:21.770","-69:11:18.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2013-10-21 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 3685; PositionRef=CBET 3685; Orig Type=Ia]",""
"6295","SN 2013fw","21:13:44.770","+13:34:33.31","SN Ia","","NGC 7042        ","","","","","","","","","0","1","","17.1","","2013-10-21 00:00:00.000","","[Discoverer=Jin, Gao; DiscoveryRef=CBET 3681; PositionRef=CBET 3681; Orig Type=Ia]",""
"6287","SN 2013fo","01:20:31.939","+12:03:12.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-09-24 00:00:00.000","","[Discoverer=Zhang, Wang, Chen (THU-NAOC Transient Survey); DiscoveryRef=CBET 3663; PositionRef=CBET 3663; Orig Type=Ia]",""
"6286","SN 2013fn","21:00:23.760","-14:29:52.19","SN Ia","","IC 1342         ","","","","","","","","","0","1","","18.5","","2013-09-23 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3662; PositionRef=CBET 3662; Orig Type=Ia]",""
"6285","SN 2013fm","07:31:05.400","+57:56:10.79","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2013-09-06 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3661; PositionRef=CBET 3661; Orig Type=Ia]",""
"6283","SN 2013fk","01:57:33.550","-02:05:57.19","SN Ia","","UGC 1442        ","","","","","","","","","0","1","","18.5","","2013-09-03 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Simonetti; DiscoveryRef=CBET 3657; PositionRef=CBET 3657; Orig Type=Ia]",""
"6282","SN 2013fj","22:15:28.510","+15:34:04.12","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.7","","2013-09-07 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Carballo; DiscoveryRef=CBET 3654; PositionRef=CBET 3654; Orig Type=Ia]",""
"6281","SN 2013fi","03:04:38.561","+42:13:49.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-08-31 00:00:00.000","","[Discoverer=Xu, Gao; DiscoveryRef=CBET 3653; PositionRef=CBET 3653; Orig Type=Ia]",""
