"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"17751","SN 2017aap","11:36:18.310","+38:07:09.20","SN Ia","0.11","SDSS J113618.34+380706.8","","PTSS","PTSS","PTSS","PTSS","PTSS-17die","CNEOST - STA1600","Lijiang-2.4m - YFOSC","1","1","","19.6","r-Sloan","2017-02-01 19:34:19.000","Li","",""
"17738","SN 2017aac","08:10:30.932","+05:15:37.15","SN Ia","0.03","","","Pan-STARRS1","Pan-STARRS1","PESSTO","Pan-STARRS1","PS17ajt","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.9","w-PS1","2017-01-29 10:42:14.000","PS1_Bot1","",""
"17736","SN 2017aaa","13:49:49.140","-03:04:48.29","SN Ia","0.047","","","Pan-STARRS1, GaiaAlerts","Pan-STARRS1, GaiaAlerts","PESSTO","GaiaAlerts; Pan-STARRS1","PS17akj","Gaia - Gaia-photometric, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.93","w-PS1","2017-01-30 14:11:02.000","PS1_Bot1","",""
"17731","SN 2017zv","11:45:02.668","-11:41:05.83","SN Ia","0.076","","","Pan-STARRS1","Pan-STARRS1","PESSTO","Pan-STARRS1","PS17akd","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.54","w-PS1","2017-01-30 13:00:28.000","PS1_Bot1","",""
"17713","SN 2017zd","13:32:42.093","-21:48:04.35","SN Ia","0.029","","","ATLAS","ATLAS","PESSTO","ATLAS","ATLAS17auc","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.68","cyan-ATLAS","2017-01-26 15:20:09.000","ATLAS_Bot1","",""
"17705","SN 2017yv","10:23:40.460","-35:49:31.30","SN Ia","0.015584","ESO 375- G 018","0.015584","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","None","ASAS-SN; GaiaAlerts","ASASSN-17bu","ASASSN-2 - Cassius, Gaia - Gaia-photometric","SALT - RSS","1","1","","16.6","V-Johnson","2017-01-31 04:33:36.000","Stanek","",""
"17695","SN 2017yn","11:32:37.966","-25:03:32.32","SN Ia","0.07","","","ATLAS","ATLAS","PESSTO","ATLAS","ATLAS17asm","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","18.1","orange-ATLAS","2017-01-18 14:09:36.000","ATLAS_Bot1","",""
"17690","SN 2017yi","02:59:27.380","+14:47:57.44","SN Ia","0.034","2MASX J02592769+1447417","","PIKA, GaiaAlerts","PIKA, GaiaAlerts","None","GaiaAlerts; PIKA","","Gaia - Gaia-photometric, Other - Other","BAO-2.16m - Cassegrain","1","1","","17.3","Clear-","2017-01-29 17:25:10.000","Mikuz","",""
"17637","SN 2017wi","02:02:08.628","-17:59:56.40","SN Ia","0.051","GALEXASC J020208.73-175958.3","","ASAS-SN","ASAS-SN","ASAS-SN","ASAS-SN","ASASSN-17bp","ASASSN-2 - Cassius","MDM-2.4 - OSMOS","1","1","","17.2","V-Johnson","2017-01-29 01:10:33.000","Stanek","",""
"17630","SN 2017wb","11:01:19.500","+70:39:53.42","SN Ia","0.03","2MASX J11011991+7039548","","ASAS-SN, Pan-STARRS1, GaiaAlerts","ASAS-SN, Pan-STARRS1, GaiaAlerts","LCOGT SN-KP","ASAS-SN; GaiaAlerts; Pan-STARRS1","ASASSN-17bo","ASASSN-1 - Brutus, Gaia - Gaia-photometric, PS1 - GPC1","FTN - FLOYDS-N","1","1","","16.9","V-Johnson","2017-01-28 14:09:36.000","Stanek","",""
"17599","SN 2017ux","09:22:53.244","-03:12:52.66","SN Ia","0.07","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","PESSTO","ATLAS; Pan-STARRS1","ATLAS17apl","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.59","cyan-ATLAS","2017-01-23 12:57:36.000","ATLAS_Bot1","",""
"17432","SN 2017on","04:09:46.890","+24:53:46.82","SN Ia","0.035","","","GaiaAlerts, Pan-STARRS1","GaiaAlerts, Pan-STARRS1","NUTS","GaiaAlerts; Pan-STARRS1","Gaia17afo","Gaia - Gaia-photometric, PS1 - GPC1","NOT - ALFOSC","1","1","","18.47","G-Gaia","2017-01-22 21:14:24.000","Gaia_Bot1","",""
"17416","SN 2017nx","06:24:07.000","+36:19:60.00","SN Ia","0.089","","","PIKA","PIKA","Padova-Asiago","PIKA","","Other - Other","Ekar - AFOSC","1","1","","18.2","Clear-","2017-01-23 21:20:58.000","Mikuz","",""
"17415","SN 2017nw","11:16:12.659","+02:48:29.13","SN Ia","0.077","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","PESSTO","ATLAS; Pan-STARRS1","ATLAS17ali","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.32","cyan-ATLAS","2017-01-23 14:31:12.000","ATLAS_Bot1","",""
"17411","SN 2017ns","02:49:10.380","+14:36:02.63","SN Ia","0.0279","","","ATLAS, Pan-STARRS1, GaiaAlerts","ATLAS, Pan-STARRS1, GaiaAlerts","Padova-Asiago","ATLAS; GaiaAlerts; Pan-STARRS1","ATLAS17alb","ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1","Ekar - AFOSC","1","1","","17.51","cyan-ATLAS","2017-01-23 07:32:09.000","ATLAS_Bot1","",""
