"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"25350","SN 2018aau","17:07:14.050","-64:24:41.18","SN Ia","0.043","","","GaiaAlerts","GaiaAlerts","ASAS-SN","GaiaAlerts","Gaia18and","Gaia - Gaia-photometric","LCO-duPont - WFCCD","1","1","","17.4","G-Gaia","2018-03-03 15:07:12.000","Gaia_Bot1","",""
"25334","SN 2018aae","12:21:34.200","+55:34:27.91","SN Ia","0.029","","","GaiaAlerts, Pan-STARRS1","GaiaAlerts, Pan-STARRS1","ZTF","GaiaAlerts; Pan-STARRS1","Gaia18aml","Gaia - Gaia-photometric, PS1 - GPC1","P60 - SEDM","1","1","","17.18","G-Gaia","2018-03-03 01:00:28.000","Gaia_Bot1","",""
"25331","SN 2018aab","15:07:22.834","+38:24:59.52","SN Ia","0.029","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS18mfq","ATLAS1 - ACAM1","APO-3.5m - DIS","1","1","","17.388","orange-ATLAS","2018-02-27 13:39:21.000","ATLAS_Bot1","",""
"25329","SN 2018zz","14:03:39.030","-33:58:43.10","SN Ia","0.0138","NGC 5419","0.013763","ASAS-SN, ATLAS, GaiaAlerts","ASAS-SN, ATLAS, GaiaAlerts","None, ePESSTO","ASAS-SN; ATLAS; GaiaAlerts","ASASSN-18en","ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1, Gaia - Gaia-photometric","ESO-3.6m - EFOSC2-3.6, ESO-NTT - EFOSC2-NTT","1","1","","16","g-Sloan","2018-03-03 22:04:48.000","Chen","",""
"25325","SN 2018zv","02:23:01.700","-36:52:58.98","SN Ia","0.04309","","","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","ASAS-SN","ASAS-SN; GaiaAlerts","ASASSN-18em","ASASSN-2 - Cassius, ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric","LCO-duPont - WFCCD","1","1","","17","V-Johnson","2018-03-04 00:37:10.000","Dong","",""
"25322","SN 2018zs","16:01:49.024","+47:23:26.59","SN Ia","0.06","","","Pan-STARRS1","Pan-STARRS1","ZTF","Pan-STARRS1","PS18kk","PS1 - GPC1","P60 - SEDM","1","1","","17.98","i-Sloan","2018-03-02 13:50:52.000","PS1_Bot1","",""
"25319","SN 2018zp","16:43:39.770","+26:35:45.67","SN Ia","0.055","","","ATLAS","ATLAS","None, ePESSTO, ZTF","ATLAS","ATLAS18mgm","ATLAS1 - ACAM1","APO-3.5m - DIS, ESO-3.6m - EFOSC2-3.6, ESO-NTT - EFOSC2-NTT","1","1","","18.333","orange-ATLAS","2018-02-28 15:44:38.000","ATLAS_Bot1","",""
"25305","SN 2018zc","15:58:59.086","+63:42:37.98","SN Ia","0.056","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS18mfo","ATLAS1 - ACAM1","P60 - SEDM","1","1","","18.347","orange-ATLAS","2018-02-27 15:08:38.000","ATLAS_Bot1","",""
"25297","SN 2018yu","05:22:32.371","-11:29:13.86","SN Ia","0.008","NGC1888","","DLT40, ATLAS","DLT40, ATLAS","None","ATLAS; DLT40","DLT18i","ATLAS1 - ACAM1, Other - Other","Lijiang-2.4m - YFOSC","1","1","","17.9165","Clear-","2018-03-01 05:21:07.000","DLT40_bot1","",""
"25289","SN 2018yq","12:15:23.114","+27:37:36.62","SN Ia","","2MASX J12152315+2737346","0.035949","ASAS-SN","ASAS-SN","ASAS-SN","ASAS-SN","ASASSN-18ef","ASASSN-4 - Leavitt","MDM-2.4 - OSMOS","1","1","","18.4","g-Sloan","2018-02-22 07:55:12.000","Stanek"," [Object redshift updated according to host-redshift by admin]",""
