"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3948","SN 2006rn","23:16:04.361","-08:11:02.18","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2006-11-09 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3947","SN 2006rm","01:26:35.760","+07:48:43.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-11-07 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3946","SN 2006rl","23:02:12.910","-15:01:21.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-11-07 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3943","SN 2006ri","02:15:57.439","-21:54:19.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.6","","2006-11-06 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3941","SN 2006rg","23:32:31.980","+08:54:17.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","19","","2006-11-01 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3940","SN 2006rf","01:53:17.760","+09:23:20.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2006-11-01 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3939","SN 2006re","01:41:39.060","+06:19:20.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.7","","2006-10-26 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3938","SN 2006rd","23:19:14.021","+04:59:39.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2006-10-26 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3936","SN 2006rb","23:35:25.090","+07:06:46.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2006-10-24 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3935","SN 2006ra","02:22:24.919","+05:22:01.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-10-23 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
