"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"71922","SN 2020abdv","09:39:55.972","+16:05:41.93","SN Ia","0.026218","","","ZTF, ATLAS, Fink, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","None, ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20acugxbm","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Other - Other, P60 - SEDM","1","1","","20.1796","r-ZTF","2020-11-28 11:37:32.160","ZTF_CLU_PUBLIC","",""
"71917","SN 2020abdq","10:42:04.729","+69:40:28.60","SN Ia","0.069","WISEA J104205.33+694027.5","","ALeRCE, ZTF, ATLAS, Fink, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20acuimtq","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.9195","r-ZTF","2020-11-29 11:48:05.999","ALeRCE","",""
"71911","SN 2020abdk","05:34:29.074","+00:02:42.97","SN Ia","0.04","","","Pan-STARRS1","Pan-STARRS1","SCAT","Pan-STARRS1","PS20lto","PS1 - GPC1","UH88 - SNIFS","1","1","","18.85","i-Sloan","2020-11-27 09:25:55.200","PS2_Bot1","",""
"71895","SN 2020abcu","13:35:23.534","+28:57:33.88","SN Ia","0.05","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS20bgfh","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","17.807","orange-ATLAS","2020-11-28 15:00:00.000","ATLAS_Bot1","",""
"71893","SN 2020abcs","22:41:25.800","-24:11:50.71","SN Ia","0.049","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts","ATLAS20bgff","ATLAS1 - ACAM1, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.944","orange-ATLAS","2020-11-28 06:51:50.400","ATLAS_Bot1","",""
"71892","SN 2020abcr","05:10:05.770","-37:35:02.98","SN Ia","0.05","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","None","ATLAS; GaiaAlerts","ATLAS20bgfc","ATLAS1 - ACAM1, Gaia - Gaia-photometric","Magellan-Baade - IMACS","1","1","","18.171","orange-ATLAS","2020-11-28 11:39:50.400","ATLAS_Bot1","",""
"71890","SN 2020abcp","13:15:54.860","+08:01:39.36","SN Ia","0.0239669997","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","None, ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS20bgey","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Ekar - AFOSC, LT - SPRAT, P60 - SEDM","1","1","","17.142","orange-ATLAS","2020-11-28 14:47:02.400","ATLAS_Bot1","",""
"71888","SN 2020abcn","11:27:42.091","+10:18:46.19","SN Ia","0.0383060016","IC 2837","0.038306","ALeRCE, ATLAS, ZTF, YSE, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20acudkao","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.5996","r-ZTF","2020-11-28 11:46:59.998","ALeRCE","",""
"71886","SN 2020abcl","10:13:28.340","+35:57:16.27","SN Ia","0.03889","SDSS J101327.61+355718.2","0.038913","ALeRCE, ATLAS, ZTF, Pan-STARRS1, Fink, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20acucbek","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.1945","g-ZTF","2020-11-27 12:24:20.998","ALeRCE","",""
"71881","SN 2020abcg","08:52:30.290","+15:20:37.56","SN Ia","0.111","SDSS J085230.27+152037.0","0.248","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","REFITT","ATLAS; Pan-STARRS1; ZTF","ZTF20actveqm","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.9811","g-ZTF","2020-11-26 11:04:51.001","ALeRCE","",""
