"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"36014","SN 2019czu","18:45:10.939","+47:32:15.12","SN Ia","0.07","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aanuipr","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.66","r-ZTF","2019-03-30 10:21:32.000","ZTF_AMPEL_COMPLETE","",""
"35994","SN 2019cza","08:46:01.263","+03:38:03.55","SN Ia","0.07671","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aapcvdi","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.7","g-ZTF","2019-04-02 04:57:01.000","ZTF_AMPEL_COMPLETE","",""
"35993","SN 2019cyz","13:18:40.109","+01:54:50.96","SN Ia","0.0508","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaojnrx","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.39","g-ZTF","2019-04-02 07:32:32.000","ZTF_AMPEL_COMPLETE","",""
"35992","SN 2019cyy","12:03:00.574","+38:16:26.77","SN Ia","0.07868","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaoikti","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.93","r-ZTF","2019-04-02 06:53:02.000","ZTF_AMPEL_COMPLETE","",""
"35990","SN 2019cyw","11:49:08.782","+57:50:41.12","SN Ia","0.100206","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19aanxnkd","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.6","g-ZTF","2019-04-02 06:46:27.000","ZTF_AMPEL_COMPLETE","",""
"35968","SN 2019cya","12:30:21.707","+25:38:01.78","SN Ia","0.06","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaoyech","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","20.07","r-ZTF","2019-04-07 06:09:44.000","ZTF_AMPEL_NEW","",""
"35966","SN 2019cxy","10:27:31.714","-26:24:38.14","SN Ia","0.057456","2MASX J10273182-2624406","0.057456","ASAS-SN, ZTF, GaiaAlerts, ATLAS","ASAS-SN, ZTF, GaiaAlerts, ATLAS","ASAS-SN","ASAS-SN; ATLAS; GaiaAlerts; ZTF","ASASSN-19jl","ASASSN-2 - Cassius, ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","LCO-duPont - WFCCD","1","1","","18","g-Sloan","2019-04-09 00:00:00.000","Stanek","",""
"35965","SN 2019cxx","11:17:48.187","+13:43:41.55","SN Ia","","SDSS J111748.57+134339.5","0.025","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","None","ATLAS; GaiaAlerts; ZTF","Tomo-e 201904aaski","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam","Gemini-N - GMOS","1","1","","18.69","Clear-","2019-04-05 12:08:47.000","Tanaka","",""
"35960","SN 2019cxs","12:33:50.153","+77:42:44.22","SN Ia","0.027899","","","ZTF","ZTF","ZTF","ZTF","ZTF19aapeime","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.45","g-ZTF","2019-04-08 06:15:36.000","ZTF_AMPEL_NEW","",""
"35958","SN 2019cxq","10:34:58.734","+28:39:25.55","SN Ia","0.1","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aapcwdq","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.63","r-ZTF","2019-04-08 05:03:00.000","ZTF_AMPEL_NEW","",""
