"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"29619","SN 2018geo","16:18:13.854","+39:07:25.75","SN Ia","0.03104","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18vca","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","18.966","orange-ATLAS","2018-09-11 05:28:19.000","ATLAS_Bot1","",""
"29617","SN 2018gem","14:48:56.593","+52:35:36.38","SN Ia","0.12","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18vap","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.325","orange-ATLAS","2018-09-11 05:58:33.000","ATLAS_Bot1","",""
"29607","SN 2018gec","07:09:53.410","+54:58:07.93","SN Ia","0.037136","UGC 03700 ","0.037136","ASAS-SN, GaiaAlerts, ATLAS","ASAS-SN, GaiaAlerts, ATLAS","Padova-Asiago","ASAS-SN; ATLAS; GaiaAlerts","ASASSN-18ux","ASASSN-4 - Leavitt, ATLAS1 - ACAM1, Gaia - Gaia-photometric","Ekar - AFOSC","1","1","","17.2","g-Sloan","2018-09-10 11:02:24.000","Stanek","",""
"29590","SN 2018gdl","00:41:44.610","+51:37:51.53","SN Ia","0.034","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF18abspqsn","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","20.29","r-ZTF","2018-09-03 08:13:55.000","ZTF_Bot1","",""
"29585","SN 2018gdg","00:30:24.634","-01:15:50.97","SN Ia","0.0569","","","ATLAS, ZTF","ATLAS, ZTF","None, ZTF","ATLAS; ZTF","ATLAS18uxc","ATLAS1 - ACAM1, P48 - ZTF-Cam","Lick-3m - KAST, P60 - SEDM","1","1","","18.759","orange-ATLAS","2018-09-09 13:00:28.000","ATLAS_Bot1","",""
"29563","SN 2018gck","00:50:56.610","+03:29:55.02","SN Ia","0.1","","","ZTF","ZTF","ZTF","ZTF","ZTF18abskzjm","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.17","g-ZTF","2018-08-31 09:37:26.000","ZTF_Bot1","",""
"29559","SN 2018gcg","17:16:10.373","+01:25:46.25","SN Ia","0.094","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18uxa","ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT","1","1","","19.097","orange-ATLAS","2018-09-09 07:00:28.000","ATLAS_Bot1","",""
"29497","SN 2018fzw","05:42:48.110","-24:29:34.91","SN Ia","0.046","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO","ATLAS; GaiaAlerts","ATLAS18uto","ATLAS1 - ACAM1, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.102","orange-ATLAS","2018-09-08 14:28:19.000","ATLAS_Bot1","",""
"29487","SN 2018fzm","21:03:19.850","-51:32:48.30","SN Ia","0.047","2MASX J21031998-5132509","0.046806","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","ePESSTO","ASAS-SN; GaiaAlerts","ASASSN-18un","ASASSN-3 - Paczynski, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.3","g-Sloan","2018-09-09 01:55:12.000","Stanek","",""
"29483","SN 2018fzi","23:39:47.275","-23:55:12.79","SN Ia","0.08","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18uoo","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.977","orange-ATLAS","2018-09-08 10:43:40.000","ATLAS_Bot1","",""
"29455","SN 2018fyg","02:45:59.340","+42:32:29.54","SN Ia","0.038643","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18uoj","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.413","orange-ATLAS","2018-09-07 13:35:02.000","ATLAS_Bot1","",""
