"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"64638","SN 2020qtr","03:32:21.537","+38:07:10.57","SN Ia","0.05","","","ZTF","ZTF","ZTF","ZTF","ZTF20abpuyau","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.89","r-ZTF","2020-07-31 10:30:29.376","ZTF_AMPEL_COMPLETE","",""
"64635","SN 2020qto","16:43:40.550","+33:32:20.58","SN Ia","0.0802","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF20abqefja","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.09","g-ZTF","2020-08-05 04:27:12.384","ZTF_AMPEL_NEW","",""
"64627","SN 2020qth","14:09:49.451","+78:36:10.34","SN Ia","0.039027","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abpqenl","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.6752","r-ZTF","2020-08-03 07:33:53.280","ZTF_CLU_PUBLIC","",""
"64598","SN 2020qse","19:35:17.447","+78:10:13.13","SN Ia","0.06","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20abpscln","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.97","r-ZTF","2020-08-01 07:13:16.896","ZTF_AMPEL_COMPLETE","",""
"64597","SN 2020qsd","18:51:48.952","+77:54:07.84","SN Ia","0.054","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abpsbyg","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.27","r-ZTF","2020-07-31 07:29:38.400","ZTF_AMPEL_COMPLETE","",""
"64593","SN 2020qrz","17:16:27.150","+43:20:33.94","SN Ia","0.02638","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20abqbzuv","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.4097","g-ZTF","2020-08-04 05:13:20.640","ZTF_CLU_PUBLIC","",""
"64580","SN 2020qrm","01:27:39.676","+17:39:27.07","SN Ia","0.07","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abpvolc","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.34","g-ZTF","2020-07-31 11:14:13.344","ZTF_AMPEL_COMPLETE","",""
"64562","SN 2020qqu","14:35:30.840","+57:12:59.90","SN Ia","0.0643","2MASX J14353070+5713000","0.064367","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20abplamr","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5085","r-ZTF","2020-08-02 04:15:38.998","ALeRCE","",""
"64555","SN 2020qqn","23:45:17.039","+21:21:31.82","SN Ia","0.045","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","UCSC","ATLAS; Pan-STARRS1; ZTF","ZTF20abqaqgv","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.82","r-ZTF","2020-08-01 11:05:40.992","ZTF_AMPEL_NEW","",""
"64553","SN 2020qql","16:30:58.110","+32:18:27.25","SN Ia","0.076","","","ZTF, YSE, Pan-STARRS1, ATLAS, GaiaAlerts","ZTF, Pan-STARRS1, ATLAS, GaiaAlerts","UCSC, ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20abpqdgh","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST, P60 - SEDM","1","1","","19.14","g-ZTF","2020-08-02 05:35:56.256","ZTF_AMPEL_NEW","",""
