"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"34693","SN 2019bco","03:51:20.670","-18:18:49.43","SN Ia","0.027429","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19dkv","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.816","orange-ATLAS","2019-02-25 05:54:14.000","ATLAS_Bot1","",""
"34684","SN 2019bcf","19:16:21.520","-40:07:44.80","SN Ia","0.01986","ESO 337- G 016","0.01986","ASAS-SN, GaiaAlerts, ATLAS","ASAS-SN, GaiaAlerts, ATLAS","ASAS-SN","ASAS-SN; ATLAS; GaiaAlerts","ASASSN-19dk","ASASSN-2 - Cassius, ASASSN-3 - Paczynski, ATLAS1 - ACAM1, Gaia - Gaia-photometric","LCO-duPont - WFCCD","1","1","","16.5","g-Sloan","2019-02-25 09:07:12.000","Stanek","",""
"34657","SN 2019bbe","12:49:40.833","-12:20:53.35","SN Ia","0.048","","","ZTF","ZTF","ZTF","ZTF","ZTF19aaktdid","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.77","r-ZTF","2019-02-25 07:11:10.000","ZTF_AMPEL_NEW","",""
"34656","SN 2019bbd","12:38:06.406","+08:02:46.33","SN Ia","0.0859","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaksrgj","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4","g-ZTF","2019-02-25 08:32:15.000","ZTF_AMPEL_NEW","",""
"34655","SN 2019bbc","12:44:34.073","+01:39:50.37","SN Ia","0.086","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF19aaksqsz","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","19.23","r-ZTF","2019-02-25 08:32:15.000","ZTF_AMPEL_NEW","",""
"34649","SN 2019baw","01:45:15.369","+32:03:41.82","SN Ia","0.035938","","","ZTF","ZTF","Padova-Asiago","ZTF","ZTF19aakkuqb","P48 - ZTF-Cam","Ekar - AFOSC","1","1","","17.12","g-ZTF","2019-02-20 03:42:45.000","ZTF_AMPEL_NEW","",""
"34647","SN 2019bau","16:51:12.367","+62:31:03.78","SN Ia","0.0799","","","ZTF","ZTF","ZTF","ZTF","ZTF19aakpfax","P48 - ZTF-Cam","P200 - DBSP","1","1","","19.26","g-ZTF","2019-02-24 12:47:58.000","ZTF_AMPEL_NEW","",""
"34645","SN 2019bas","16:26:51.710","+29:23:08.52","SN Ia","0.078316","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","Padova-Asiago","ATLAS; GaiaAlerts; ZTF","ZTF19aakpcfy","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Ekar - AFOSC","1","1","","18.27","g-ZTF","2019-02-24 12:02:36.000","ZTF_AMPEL_NEW","",""
"34644","SN 2019bar","16:24:59.463","+23:10:32.47","SN Ia","0.06322","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","Padova-Asiago, ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF19aakpcfi","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC, P60 - SEDM","1","1","","18.53","r-ZTF","2019-02-24 12:02:36.000","ZTF_AMPEL_NEW","",""
"34643","SN 2019baq","12:22:01.420","+20:20:26.68","SN Ia","0.022","","","ZTF, ATLAS","ZTF, ATLAS","Padova-Asiago, ZTF","ATLAS; ZTF","ZTF19aakoasy","ATLAS1 - ACAM1, P48 - ZTF-Cam","Ekar - AFOSC, P60 - SEDM","1","1","","18.08","r-ZTF","2019-02-24 08:58:09.000","ZTF_AMPEL_NEW","",""
"34639","SN 2019bam","02:48:58.502","+26:30:13.68","SN Ia","0.059","","","ZTF, ATLAS","ZTF, ATLAS","None","ATLAS; ZTF","ZTF19aakluwr","ATLAS1 - ACAM1, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.01","r-ZTF","2019-02-24 02:38:22.000","ZTF_AMPEL_NEW","",""
