"ID"    ,"Name"        ,"RA"           ,"DEC"          ,"Obj. Type" ,"Redshift" ,"Host Name"                  ,"Host Redshift" ,"Reporting Group/s"                              ,"Discovery Data Source/s"                        ,"Classifying Group/s"    ,"Associated Group/s"                             ,"Disc. Internal Name"   ,"Disc. Instrument/s"                                                                     ,"Class. Instrument/s"                      ,"TNS AT" ,"Public" ,"End Prop. Period" ,"Discovery Mag/Flux" ,"Discovery Filter" ,"Discovery Date (UT)"     ,"Sender"             ,"Remarks"                                                                                                                                                                                            ,"Ext. catalog/s"
"70307" ,"SN 2020yvv"  ,"23:59:13.596" ,"+38:37:50.23" ,"SN Ib"     ,"0.032"    ,""                           ,""              ,"ATLAS, Pan-STARRS1"                             ,"ATLAS, Pan-STARRS1"                             ,"Padova-Asiago"          ,"ATLAS; Pan-STARRS1"                             ,"ATLAS20bevx"           ,"ATLAS1 - ACAM1, PS1 - GPC1"                                                             ,"Ekar - AFOSC"                             ,"1"      ,"1"      ,""                 ,"18.931"             ,"orange-ATLAS"     ,"2020-11-03 09:17:16.800" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"68772" ,"SN 2020wpq"  ,"02:04:50.860" ,"-17:45:40.40" ,"SN Ib"     ,"0.038"    ,""                           ,""              ,"ZTF, Pan-STARRS1, ATLAS"                        ,"ZTF, Pan-STARRS1, ATLAS"                        ,"ePESSTO+"               ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20acjbzrh"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"ESO-NTT - EFOSC2-NTT"                     ,"1"      ,"1"      ,""                 ,"19.7425"            ,"r-ZTF"            ,"2020-10-14 08:00:14.400" ,"ZTF_CLU_PUBLIC"     ,""                                                                                                                                                                                                   ,""
"68069" ,"SN 2020voz"  ,"22:05:25.870" ,"-20:13:32.02" ,"SN Ib"     ,"0.045"    ,""                           ,""              ,"ATLAS, Pan-STARRS1, GaiaAlerts"                 ,"ATLAS, Pan-STARRS1, GaiaAlerts"                 ,"SCAT"                   ,"ATLAS; GaiaAlerts; Pan-STARRS1"                 ,"ATLAS20bdag"           ,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1"                                    ,"UH88 - SNIFS"                             ,"1"      ,"1"      ,""                 ,"19.088"             ,"orange-ATLAS"     ,"2020-10-09 08:45:36.000" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"66408" ,"SN 2020tdu"  ,"04:45:48.967" ,"-21:39:40.13" ,"SN Ib"     ,"0.032"    ,""                           ,""              ,"ATLAS, Pan-STARRS1"                             ,"ATLAS, Pan-STARRS1"                             ,"SIRAH"                  ,"ATLAS; Pan-STARRS1"                             ,"ATLAS20zxq"            ,"ATLAS1 - ACAM1, PS1 - GPC1"                                                             ,"SALT - RSS"                               ,"1"      ,"1"      ,""                 ,"18.646"             ,"orange-ATLAS"     ,"2020-09-13 12:34:33.600" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"65629" ,"SN 2020sai"  ,"03:13:22.850" ,"+06:38:06.00" ,"SN Ib"     ,"0.03"     ,""                           ,""              ,"ZTF, GaiaAlerts, Pan-STARRS1"                   ,"ZTF, GaiaAlerts, Pan-STARRS1"                   ,"ZTF"                    ,"GaiaAlerts; Pan-STARRS1; ZTF"                   ,"ZTF20abvquuo"          ,"Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1"                                     ,"P200 - DBSP"                              ,"1"      ,"1"      ,""                 ,"20.04"              ,"g-ZTF"            ,"2020-08-21 10:49:26.400" ,"ZTF_Bot1"           ,""                                                                                                                                                                                                   ,""
"62759" ,"SN 2020obn"  ,"15:01:21.127" ,"+65:30:15.38" ,"SN Ib"     ,"0.031288" ,""                           ,""              ,"ZTF, Pan-STARRS1, ATLAS"                        ,"ZTF, Pan-STARRS1, ATLAS"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20abjpvce"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"LT - SPRAT"                               ,"1"      ,"1"      ,""                 ,"19.402"             ,"r-ZTF"            ,"2020-07-07 04:49:00.480" ,"ZTF_CLU_PUBLIC"     ,""                                                                                                                                                                                                   ,""
"62303" ,"SN 2020nke"  ,"17:05:01.860" ,"+23:09:24.77" ,"SN Ib"     ,"0.0308"   ,"MSPM 00877"                 ,"0.03065"       ,"ALeRCE, ATLAS, Pan-STARRS1, ZTF, GaiaAlerts"    ,"ZTF, ATLAS, Pan-STARRS1, GaiaAlerts"            ,"ZTF"                    ,"ATLAS; GaiaAlerts; Pan-STARRS1; ZTF"            ,"ZTF20abhlncz"          ,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1"                     ,"P200 - DBSP"                              ,"1"      ,"1"      ,""                 ,"19.5638"            ,"r-ZTF"            ,"2020-06-24 05:49:05.002" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"62039" ,"SN 2020nac"  ,"00:43:24.643" ,"+50:40:28.06" ,"SN Ib"     ,"0.017409" ,"UGC 00460"                  ,"0.017409"      ,"ALeRCE, ATLAS"                                  ,"ZTF, ATLAS"                                     ,"ZTF"                    ,"ATLAS; ZTF"                                     ,"ZTF20abgbxvb"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam"                                                          ,"P60 - SEDM"                               ,"1"      ,"1"      ,""                 ,"17.973"             ,"g-ZTF"            ,"2020-06-18 09:24:39.997" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"61126" ,"SN 2020ltq"  ,"21:44:34.454" ,"-24:36:10.12" ,"SN Ib"     ,"0.017587" ,""                           ,""              ,"ATLAS, Pan-STARRS1, ZTF"                        ,"ATLAS, Pan-STARRS1, ZTF"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ATLAS20our"            ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"P60 - SEDM"                               ,"1"      ,"1"      ,""                 ,"18.198"             ,"orange-ATLAS"     ,"2020-06-05 13:16:19.200" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"60806" ,"SN 2020lid"  ,"00:20:00.781" ,"-06:20:04.06" ,"SN Ib"     ,"0.14"     ,""                           ,""              ,"ATLAS, ZTF, Pan-STARRS1"                        ,"ATLAS, ZTF, Pan-STARRS1"                        ,"None"                   ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ATLAS20off"            ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"NOT - ALFOSC"                             ,"1"      ,"1"      ,""                 ,"17.701"             ,"cyan-ATLAS"       ,"2020-05-29 14:05:16.800" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
