"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"67111","SN 2020uem","08:24:23.850","-03:29:19.10","SN IIP","0.041","","","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ZTF, Padova-Asiago","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS20bbsz","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC, P60 - SEDM","1","1","","16.493","cyan-ATLAS","2020-09-22 14:26:52.800","ATLAS_Bot1","",""
"66441","SN 2020tfb","06:08:52.139","-26:24:45.98","SN IIP","0.048","","","ATLAS, YSE, ZTF","ATLAS, Pan-STARRS1, ZTF","REFITT","ATLAS; Pan-STARRS1; ZTF","ATLAS20babr","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.083","orange-ATLAS","2020-09-11 14:34:04.800","ATLAS_Bot1","",""
"66433","SN 2020tet","02:32:28.619","-20:38:15.39","SN IIP","0.086","","","ATLAS, Pan-STARRS1, REFITT","ATLAS, Pan-STARRS1, ZTF","REFITT","ATLAS; Pan-STARRS1; REFITT; ZTF","ATLAS20baae","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.301","orange-ATLAS","2020-09-11 12:37:26.400","ATLAS_Bot1","",""
"65866","SN 2020sje","01:17:21.960","+44:11:41.53","SN IIP","0.03","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20abxmwwd","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.58","r-ZTF","2020-08-30 11:20:41.280","ZTF_AMPEL_COMPLETE","",""
"65780","SN 2020sfy","02:12:24.920","-12:22:30.69","SN IIP","0.05","SDSS J021224.94-122231.0","0.105","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abwftit","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.1205","g-ZTF","2020-08-30 09:56:32.004","ALeRCE","",""
"64102","SN 2020pzn","23:23:37.410","-19:01:00.98","SN IIP","0.026","","","ATLAS, Pan-STARRS1, GaiaAlerts, MASTER","ATLAS, Pan-STARRS1, GaiaAlerts, MASTER","TCD, None","ATLAS; GaiaAlerts; MASTER; Pan-STARRS1","ATLAS20tuv","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, PS1 - GPC1","LT - SPRAT","1","1","","19.2","orange-ATLAS","2020-07-21 12:50:24.000","ATLAS_Bot1","",""
"62407","SN 2020noe","10:19:06.550","+34:39:14.40","SN IIP","0.0155","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20abismub","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","17.64","r-ZTF","2020-06-27 04:13:22.944","ZTF_AMPEL_NEW","",""
"59658","SN 2020jqw","14:22:56.694","-01:53:01.50","SN IIP","0.082","SDSS J142256.59-015300.4","0.425","ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1","SGLF","Pan-STARRS1; ZTF","ZTF20aazhxsw","P48 - ZTF-Cam, PS1 - GPC1","P48 - ZTF-Cam","1","1","","20.006","g-ZTF","2020-05-11 05:18:37.002","ALeRCE","",""
"57797","SN 2020gzy","13:15:31.390","+62:07:44.94","SN IIP","0.030831","","","Pan-STARRS1, GaiaAlerts, ATLAS","Pan-STARRS1, GaiaAlerts, ATLAS","NUTS","ATLAS; GaiaAlerts; Pan-STARRS1","PS20bvy","ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1","NOT - ALFOSC","1","1","","19.41","i-Sloan","2020-04-10 11:25:26.400","PS1_Bot1","",""
"56145","SN 2020esm","14:07:18.260","-05:07:37.67","SN IIP","0.036","WISEA J140717.48-050726.1","0.036188","ASAS-SN, ATLAS, Pan-STARRS1, YSE, ZTF, GaiaAlerts","ASAS-SN, ATLAS, Pan-STARRS1, ZTF, GaiaAlerts","SCAT","ASAS-SN; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ASASSN-20dl","ASASSN-1 - Brutus, ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","17.7","g-Sloan","2020-03-22 08:52:48.000","Stanek","",""
